ICCID,IMSI,SIM_State,Total_Kbytes
89882390000031001400,901288000011120,Active.Live,
89882390000031001426,901288000011122,Active.Live,
89882390000031001467,901288000011126,Active.Live,
89882390000031001475,901288000011127,Active.Live,
89882390000031001483,901288000011128,Active.Live,
89882390000031205050,901288000011485,Active.Live,
89882390000031217204,901288000012700,Active.Live,
89882390000031217212,901288000012701,Active.Live,
89882390000031217220,901288000012702,Active.Live,
89882390000031217238,901288000012703,Active.Live,
89882390000031217246,901288000012704,Active.Live,
89882390000031217253,901288000012705,Active.Live,
89882390000031217261,901288000012706,Active.Live,
89882390000031217279,901288000012707,Active.Live,
89882390000031217287,901288000012708,Active.Live,
89882390000031217295,901288000012709,Active.Live,
89882390000031217303,901288000012710,Active.Live,
89882390000031217311,901288000012711,Active.Live,
89882390000031217329,901288000012712,Active.Live,
89882390000031217337,901288000012713,Active.Live,
89882390000031217345,901288000012714,Active.Live,
89882390000031217352,901288000012715,Active.Live,
89882390000031217360,901288000012716,Active.Live,
89882390000031217378,901288000012717,Active.Live,
89882390000031217386,901288000012718,Active.Live,
89882390000031217394,901288000012719,Active.Live,
89882390000031217402,901288000012720,Active.Live,
89882390000031217410,901288000012721,Active.Live,
89882390000031217428,901288000012722,Active.Live,
89882390000031217436,901288000012723,Active.Live,
89882390000031217444,901288000012724,Active.Live,
89882390000031402418,901288000016200,Active.Live,
89882390000031402434,901288000016202,Active.Live,
89882390000031402442,901288000016203,Active.Live,
89882390000031402459,901288000016204,Active.Live,
89882390000031402475,901288000016206,Active.Live,
89882390000031402491,901288000016208,Active.Live,
89882390000031402509,901288000016209,Active.Live,
89882390000031402517,901288000016210,Active.Live,
89882390000031402525,901288000016211,Active.Live,
89882390000031402533,901288000016212,Active.Live,
89882390000031402541,901288000016213,Active.Live,
89882390000031402566,901288000016215,Active.Live,
89882390000031402582,901288000016217,Active.Live,
89882390000031402608,901288000016219,Active.Live,
89882390000031402616,901288000016220,Active.Live,
89882390000031402624,901288000016221,Active.Live,
89882390000031402632,901288000016222,Active.Live,
89882390000031402640,901288000016223,Active.Live,True
89882390000031402657,901288000016224,Active.Live,
89882390000031402665,901288000016225,Active.Live,
89882390000031402673,901288000016226,Active.Live,
89882390000031402681,901288000016227,Active.Live,
89882390000031402699,901288000016228,Active.Live,
89882390000031402707,901288000016229,Active.Live,
89882390000031402715,901288000016230,Active.Live,
89882390000031402723,901288000016231,Active.Live,
89882390000031402749,901288000016233,Active.Live,
89882390000031402756,901288000016234,Active.Live,
89882390000031402764,901288000016235,Active.Live,
89882390000031402780,901288000016237,Active.Live,
89882390000031402798,901288000016238,Active.Live,
89882390000031402806,901288000016239,Active.Live,
89882390000031402814,901288000016240,Active.Live,
89882390000031402822,901288000016241,Active.Live,
89882390000031402830,901288000016242,Active.Live,
89882390000031402848,901288000016243,Active.Live,
89882390000031402855,901288000016244,Active.Live,
89882390000031402863,901288000016245,Active.Live,
89882390000031402871,901288000016246,Active.Live,
89882390000031402889,901288000016247,Active.Live,
89882390000031402897,901288000016248,Active.Live,
89882390000031402905,901288000016249,Active.Live,
89882390000031402913,901288000016250,Active.Live,
89882390000031402939,901288000016252,Active.Live,
89882390000031402954,901288000016254,Active.Live,
89882390000031402970,901288000016256,Active.Live,
89882390000031402988,901288000016257,Active.Live,
89882390000031402996,901288000016258,Active.Live,
89882390000031403002,901288000016259,Active.Live,
89882390000031403010,901288000016260,Active.Live,
89882390000031403028,901288000016261,Active.Live,
89882390000031403036,901288000016262,Active.Live,
89882390000031403044,901288000016263,Active.Live,
89882390000031403051,901288000016264,Active.Live,
89882390000031403069,901288000016265,Active.Live,
89882390000031403077,901288000016266,Active.Live,
89882390000031403085,901288000016267,Active.Live,True
89882390000031403093,901288000016268,Active.Live,
89882390000031403101,901288000016269,Active.Live,
89882390000031403119,901288000016270,Active.Live,
89882390000031403127,901288000016271,Active.Live,
89882390000031403135,901288000016272,Active.Live,
89882390000031403150,901288000016274,Active.Live,
89882390000031403168,901288000016275,Active.Live,
89882390000031403176,901288000016276,Active.Live,
89882390000031403184,901288000016277,Active.Live,True
89882390000031403192,901288000016278,Active.Live,
89882390000031403200,901288000016279,Active.Live,
89882390000031403218,901288000016280,Active.Live,
89882390000031403226,901288000016281,Active.Live,
89882390000031403234,901288000016282,Active.Live,
89882390000031403242,901288000016283,Active.Live,
89882390000031403259,901288000016284,Active.Live,
89882390000031403267,901288000016285,Active.Live,
89882390000031403275,901288000016286,Active.Live,
89882390000031403283,901288000016287,Active.Live,
89882390000031403291,901288000016288,Active.Live,
89882390000031403309,901288000016289,Active.Live,
89882390000031403317,901288000016290,Active.Live,
89882390000031403325,901288000016291,Active.Live,
89882390000031403333,901288000016292,Active.Live,
89882390000031403341,901288000016293,Active.Live,
89882390000031403358,901288000016294,Active.Live,
89882390000031403366,901288000016295,Active.Live,
89882390000031403374,901288000016296,Active.Live,
89882390000031403382,901288000016297,Active.Live,
89882390000031403390,901288000016298,Active.Live,
89882390000031403408,901288000016299,Active.Live,
