ICCID,Total_Kbytes
89882390000031402640,240.0
89882390000031403085,377.0
89882390000031403184,278.0
89882390000036023441,279.0
89882390000047985513,1582.0
89882390000047985539,281.0
89882390000047985562,1431.0
89882390000047985653,378.0
89882390000047985695,1417.0
89882390000047985711,280.0
89882390000047985752,1418.0
89882390000047985778,304.0
89882390000047985786,1302.0
89882390000047985794,1387.0
89882390000047985836,1300.0
89882390000047985851,1372.0
89882390000047985877,1359.0
89882390000047986032,528.0
89882390000047986057,185.0
89882390000047986214,519.0
89882390000047986222,440.0
89882390000047986248,399.0
89882390000047986255,654.0
89882390000047986271,439.0
89882390000047986297,440.0
89882390000047986305,498.0
89882390000047986446,377.0
89882390000047986503,430.0
89882390000047986644,489.0
89882390000047986677,450.0
89882390000047986875,1852.0
89882390000047986891,1754.0
89882390000047986933,393.0
89882390000047986958,1615.0
89882390000047987006,1672.0
89882390000047987055,492.0
89882390000047987089,718.0
89882390000047987121,1657.0
89882390000047987279,554.0
89882390000047987576,981.0
89882390000047987618,527.0
89882390000047987675,185.0
89882390000047987683,460.0
89882390000047987691,556.0
89882390000047987774,726.0
89882390000047987808,428.0
89882390000047987824,477.0
89882390000047987832,634.0
89882390000047987840,455.0
89882390000047987865,7580.0
89882390000047987873,7420.0
89882390000047987907,513.0
89882390000047987915,452.0
89882390000047987931,6827.0
89882390000047987949,6638.0
89882390000047988012,742.0
89882390000047988061,565.0
89882390000047988137,301.0
89882390000047988145,660.0
89882390000047988152,6122.0
89882390000047988160,534.0
89882390000047988202,582.0
89882390000047988269,597.0
89882390000047988277,456.0
89882390000047988285,436.0
89882390000047988293,456.0
89882390000047988343,144.0
89882390000047988350,557.0
89882390000047988426,709.0
89882390000047988517,457.0
89882390000047988533,357.0
89882390000047988574,856.0
89882390000047988582,6788.0
89882390000047988590,279.0
89882390000047988608,484.0
89882390000047988624,123.0
89882390000047988632,440.0
89882390000047988640,519.0
89882390000047988681,742.0
89882390000047988715,279.0
89882390000047988723,450.0
89882390000047988749,378.0
89882390000047988764,700.0
89882390000047988806,517.0
89882390000047988848,328.0
89882390000047988905,5837.0
89882390000047988921,358.0
89882390000047988962,341.0
89882390000047988996,457.0
89882390000047989010,692.0
89882390000047989036,435.0
89882390000047989044,279.0
89882390000047989051,265.0
89882390000047989226,378.0
89882390000047989317,300.0
89882390000047989341,279.0
89882390000047989390,278.0
89882390000047989440,279.0
89882390000047989598,858.0
89882390000047989689,429.0
89882390000047989721,596.0
89882390000047989952,336.0
89882390000047989978,461.0
89882390000047990018,279.0
89882390000047990026,324.0
89882390000047990323,278.0
89882390000047990349,378.0
89882390000047990364,279.0
89882390000093993874,1496.0
89882390000093993908,721.0
89882390000093993957,471.0
89882390000093993973,535.0
89882390000093993999,187.0
89882390000093994054,1191.0
89882390000093994088,521.0
89882390000093994112,709.0
89882390000093994138,333.0
89882390000093994161,520.0
89882390000093994179,925.0
89882390000093994278,336.0
89882390000093994302,279.0
89882390000093994310,336.0
89882390000093994369,520.0
89882390000093994377,489.0
89882390000093994419,521.0
89882390000093994542,279.0
89882390000093994583,279.0
89882390000093994609,605.0
89882390000093994641,924.0
