ICCID,IMSI,Unnamed: 0,SIM_State,20231001_20231029_2023-10-29T13311170Z,20230401_20230430_2023-10-21T12258947Z,20230801_20230831_2023-10-21T14847894Z,20230601_20230630_2023-10-21T14127984Z,20230901_20230930_2023-10-21T141015261Z,20230701_20230731_2023-10-21T14613917Z,20230501_20230531_2023-10-21T14110405Z,Sum of all comunication,Suspend
89882390000031001400,901288000011120,0,Active.Live,,,,,,,,0.0,True
89882390000031001418,901288000011121,1,Inactive,,,,,,,,0.0,False
89882390000031001426,901288000011122,2,Active.Live,,,,,,,,0.0,True
89882390000031001434,901288000011123,3,Inactive,,,,,,,,0.0,False
89882390000031001442,901288000011124,4,Inactive,,,,,,,,0.0,False
89882390000031001459,901288000011125,5,Inactive,,,,,,,,0.0,False
89882390000031001467,901288000011126,6,Active.Live,,,,,,,,0.0,True
89882390000031001475,901288000011127,7,Active.Live,,,,,,,,0.0,True
89882390000031001483,901288000011128,8,Active.Live,,,,,,,,0.0,True
89882390000031205050,901288000011485,9,Active.Live,,,,,,,,0.0,True
89882390000031217204,901288000012700,10,Active.Live,,,,,,,,0.0,True
89882390000031217212,901288000012701,11,Active.Live,,,,,,,,0.0,True
89882390000031217220,901288000012702,12,Active.Live,,,,,,,,0.0,True
89882390000031217238,901288000012703,13,Active.Live,,,,,,,,0.0,True
89882390000031217246,901288000012704,14,Active.Live,,,,,,,,0.0,True
89882390000031217253,901288000012705,15,Active.Live,,,,,,,,0.0,True
89882390000031217261,901288000012706,16,Active.Live,,,,,,,,0.0,True
89882390000031217279,901288000012707,17,Active.Live,,,,,,,,0.0,True
89882390000031217287,901288000012708,18,Active.Live,,,,,,,,0.0,True
89882390000031217295,901288000012709,19,Active.Live,,,,,,,,0.0,True
89882390000031217303,901288000012710,20,Active.Live,,,,,,,,0.0,True
89882390000031217311,901288000012711,21,Active.Live,,,,,,,,0.0,True
89882390000031217329,901288000012712,22,Active.Live,,,,,,,,0.0,True
89882390000031217337,901288000012713,23,Active.Live,,,,,,,,0.0,True
89882390000031217345,901288000012714,24,Active.Live,,,,,,,,0.0,True
89882390000031217352,901288000012715,25,Active.Live,,,,,,,,0.0,True
89882390000031217360,901288000012716,26,Active.Live,,,,,,,,0.0,True
89882390000031217378,901288000012717,27,Active.Live,,,,,,,,0.0,True
89882390000031217386,901288000012718,28,Active.Live,,,,,,,,0.0,True
89882390000031217394,901288000012719,29,Active.Live,,,,,,,,0.0,True
89882390000031217402,901288000012720,30,Active.Live,,,,,,,,0.0,True
89882390000031217410,901288000012721,31,Active.Live,,,,,,,,0.0,True
89882390000031217428,901288000012722,32,Active.Live,,,,,,,,0.0,True
89882390000031217436,901288000012723,33,Active.Live,,419.61,507.1,,,281.02,4.41,1212.14,False
89882390000031217444,901288000012724,34,Active.Live,,,,,,,,0.0,True
89882390000031402418,901288000016200,35,Active.Live,,,,,,,,0.0,True
89882390000031402426,901288000016201,36,Inactive,,,,,,,,0.0,False
89882390000031402434,901288000016202,37,Active.Live,,,,,,,,0.0,True
89882390000031402442,901288000016203,38,Active.Live,,,,,,,,0.0,True
89882390000031402467,901288000016205,40,Active.Ready,,,,,,,,0.0,False
89882390000031402483,901288000016207,42,Active.Sleep,,,,,,,,0.0,False
89882390000031402517,901288000016210,45,Active.Live,,,,,,,,0.0,True
89882390000031402525,901288000016211,46,Active.Live,,,,,,,,0.0,True
89882390000031402533,901288000016212,47,Active.Live,,,,,,,,0.0,True
89882390000031402541,901288000016213,48,Active.Live,,,,,,,,0.0,True
89882390000031402558,901288000016214,49,Inactive,,,,,,,,0.0,False
89882390000031402566,901288000016215,50,Active.Live,223.96,386.64,,,,,84.62,695.22,False
89882390000031402574,901288000016216,51,Inactive,,,,,,,,0.0,False
89882390000031402582,901288000016217,52,Active.Live,,,,,,,,0.0,True
89882390000031402590,901288000016218,53,Inactive,,,,,,,,0.0,False
89882390000031402608,901288000016219,54,Active.Live,223.41,375.45,,,,,85.99000000000001,684.85,False
89882390000031402616,901288000016220,55,Active.Live,,,,,,,,0.0,True
89882390000031402624,901288000016221,56,Active.Live,,,,,,,,0.0,True
89882390000031402632,901288000016222,57,Active.Live,,,,,,,,0.0,True
89882390000031402640,901288000016223,58,Active.Live,7.96,8.72,10.24,8.87,9.04,9.0,9.47,63.3,False
89882390000031402657,901288000016224,59,Active.Live,,,,,,,,0.0,True
89882390000031402665,901288000016225,60,Active.Live,224.37,393.64,,,,,96.4,714.41,False
89882390000031402673,901288000016226,61,Active.Live,,,,,,,,0.0,True
89882390000031402681,901288000016227,62,Active.Live,,,,,,,,0.0,True
89882390000031402699,901288000016228,63,Active.Live,225.74,379.91,,,,,83.54,689.19,False
89882390000031402707,901288000016229,64,Active.Live,,,,,,,,0.0,True
89882390000031402715,901288000016230,65,Active.Live,,,,,,,,0.0,True
89882390000031402723,901288000016231,66,Active.Live,223.41,370.36,,,,,,593.77,False
89882390000031402731,901288000016232,67,Inactive,,,,,,,,0.0,False
89882390000031402749,901288000016233,68,Active.Live,,,,,,,,0.0,True
89882390000031402756,901288000016234,69,Active.Live,,,,,,,,0.0,True
89882390000031402764,901288000016235,70,Active.Live,,,,,,,,0.0,True
89882390000031402772,901288000016236,71,Inactive,,,,,,,,0.0,False
89882390000031402780,901288000016237,72,Active.Live,,,,,,,,0.0,True
89882390000031402798,901288000016238,73,Active.Live,,,,,,,,0.0,True
89882390000031402806,901288000016239,74,Active.Live,,,,,,,,0.0,True
89882390000031402814,901288000016240,75,Active.Live,,,,,,,,0.0,True
89882390000031402822,901288000016241,76,Active.Live,,,,,,,,0.0,True
89882390000031402830,901288000016242,77,Active.Live,,,,,,,,0.0,True
89882390000031402848,901288000016243,78,Active.Live,,,,,,,,0.0,True
89882390000031402855,901288000016244,79,Active.Live,,,,,,,,0.0,True
89882390000031402863,901288000016245,80,Active.Live,,,,,,,,0.0,True
89882390000031402871,901288000016246,81,Active.Live,,,,,,,,0.0,True
89882390000031402889,901288000016247,82,Active.Live,,,,,,,,0.0,True
89882390000031402897,901288000016248,83,Active.Live,,,,,,,,0.0,True
89882390000031402905,901288000016249,84,Active.Live,,,,,,,,0.0,True
89882390000031402913,901288000016250,85,Active.Live,,,,,,,,0.0,True
89882390000031402939,901288000016252,86,Active.Live,,,,,,,,0.0,True
89882390000031402954,901288000016254,87,Active.Live,,,,,,,,0.0,True
89882390000031402970,901288000016256,88,Active.Live,,,,,,,,0.0,True
89882390000031402988,901288000016257,89,Active.Live,,,,,,,,0.0,True
89882390000031402996,901288000016258,90,Active.Live,223.28,368.35,,,,,,591.63,False
89882390000031403002,901288000016259,91,Active.Live,223.68,369.98,,,,,,593.6600000000001,False
89882390000031403010,901288000016260,92,Active.Live,227.39,365.19,,,,,,592.5799999999999,False
89882390000031403028,901288000016261,93,Active.Live,222.87,368.6,,,,,,591.47,False
89882390000031403036,901288000016262,94,Active.Live,,,,,,,,0.0,True
89882390000031403044,901288000016263,95,Active.Live,,,,,,,,0.0,True
89882390000031403051,901288000016264,96,Active.Live,,,,,,,,0.0,True
89882390000031403069,901288000016265,97,Active.Live,,278.36,,,,,,278.36,False
89882390000031403077,901288000016266,98,Active.Live,,,,,,,,0.0,True
89882390000031403085,901288000016267,99,Active.Live,136.22,148.03,149.32,157.09,161.15,149.94,162.17,1063.92,False
89882390000031403093,901288000016268,100,Active.Live,220.94,366.3,,,,,,587.24,False
89882390000031403101,901288000016269,101,Active.Live,,,,,,,,0.0,True
89882390000031403119,901288000016270,102,Active.Live,,,,,,,,0.0,True
89882390000031403127,901288000016271,103,Active.Live,,,,,,,,0.0,True
89882390000031403135,901288000016272,104,Active.Live,225.6,370.38,,,,,,595.98,False
89882390000031403143,901288000016273,105,Inactive,,,,,,,,0.0,False
89882390000031403150,901288000016274,106,Active.Live,226.02,393.22,,,,,83.41,702.65,False
89882390000031403168,901288000016275,107,Active.Live,225.46,358.51,,,,,,583.97,False
89882390000031403176,901288000016276,108,Active.Live,,,,,,,,0.0,True
89882390000031403184,901288000016277,109,Active.Live,135.57999999999998,150.15,149.32,149.93,161.15,150.56,162.38,1059.0700000000002,False
89882390000031403192,901288000016278,110,Active.Live,,,,,,,,0.0,True
89882390000031403200,901288000016279,111,Active.Live,,,,,,,,0.0,True
89882390000031403218,901288000016280,112,Active.Live,,,,,,,,0.0,True
89882390000031403226,901288000016281,113,Active.Live,,,,,,,,0.0,True
89882390000031403234,901288000016282,114,Active.Live,,,,,,,,0.0,True
89882390000031403242,901288000016283,115,Active.Live,,,,,,,,0.0,True
89882390000031403259,901288000016284,116,Active.Live,,,,,,,,0.0,True
89882390000031403267,901288000016285,117,Active.Live,,,,,,,,0.0,True
89882390000031403275,901288000016286,118,Active.Live,223.69,382.18,,430.91,,41.42,418.79,1496.99,False
89882390000031403283,901288000016287,119,Active.Live,225.2,371.61,,,,,,596.81,False
89882390000031403291,901288000016288,120,Active.Live,,,,,,,,0.0,True
89882390000031403309,901288000016289,121,Active.Live,,,,,,,,0.0,True
89882390000031403317,901288000016290,122,Active.Live,,9.92,3.31,9.95,,8.709999999999999,9.17,41.06,False
89882390000031403325,901288000016291,123,Active.Live,,,,,,,,0.0,True
89882390000031403333,901288000016292,124,Active.Live,225.88,365.45,,,,,0.0,591.3299999999999,False
89882390000031403341,901288000016293,125,Active.Live,,,,,,,,0.0,True
89882390000031403358,901288000016294,126,Active.Live,224.23,368.2,,,,,,592.43,False
89882390000031403366,901288000016295,127,Active.Live,223.96,,,,,,,223.96,False
89882390000031403374,901288000016296,128,Active.Live,,,,,,,,0.0,True
89882390000031403382,901288000016297,129,Active.Live,,,,,,,,0.0,True
89882390000031403390,901288000016298,130,Active.Live,,,,,,,,0.0,True
89882390000031403408,901288000016299,131,Active.Live,,,,,,,,0.0,True
89882390000036023359,901288001025874,132,Active.Live,,,,,,,,0.0,True
89882390000036023367,901288001025875,133,Active.Live,,,,,,,,0.0,True
89882390000036023417,901288001025880,134,Inactive,,,,,,,,0.0,False
89882390000036023425,901288001025881,135,Active.Live,,,,,,,,0.0,True
89882390000036023433,901288001025882,136,Inactive,,,,,,,,0.0,False
89882390000036023441,901288001025883,137,Active.Live,136.66,148.67,149.95,149.31,161.15,150.35,162.81,1058.9,False
89882390000036023458,901288001025884,138,Active.Live,,,,,,,,0.0,True
89882390000036023466,901288001025885,139,Active.Live,,,,,,,,0.0,True
89882390000036023482,901288001025887,140,Active.Live,,,,,,,,0.0,True
89882390000036023490,901288001025888,141,Active.Live,,,,,,,,0.0,True
89882390000036023508,901288001025889,142,Active.Live,,,,,,,,0.0,True
89882390000047985414,901288001061584,143,Inactive,,,,,,,,0.0,False
89882390000047985422,901288001061585,144,Active.Live,,,,,,,,0.0,True
89882390000047985430,901288001061586,145,Active.Live,,,,,,,,0.0,True
89882390000047985448,901288001061587,146,Active.Live,,,,,,,,0.0,True
89882390000047985455,901288001061588,147,Active.Live,,,,,,,,0.0,True
89882390000047985463,901288001061589,148,Active.Live,,,,,,,,0.0,True
89882390000047985471,901288001061590,149,Active.Live,,,,,,,,0.0,True
89882390000047985489,901288001061591,150,Active.Live,,,,,,,,0.0,True
89882390000047985497,901288001061592,151,Active.Live,,,,,,,,0.0,True
89882390000047985505,901288001061593,152,Active.Live,,,,,,,,0.0,True
89882390000047985513,901288001061594,153,Active.Live,59.84,65.26,64.35000000000001,64.48,67.32000000000001,65.02,65.97,452.24,False
89882390000047985521,901288001061595,154,Active.Live,,,,,,,,0.0,True
89882390000047985539,901288001061596,155,Active.Live,11.73,12.96,11.76,11.74,11.25,11.39,13.65,84.48000000000002,False
89882390000047985547,901288001061597,156,Active.Live,,,,,,,,0.0,True
89882390000047985554,901288001061598,157,Active.Live,,,,,,,,0.0,True
89882390000047985562,901288001061599,158,Active.Live,59.3,64.73,59.5,62.73,66.48,62.82,67.04,442.6,False
89882390000047985570,901288001061600,159,Active.Live,,,,,,,,0.0,True
89882390000047985588,901288001061601,160,Active.Live,,,,,,,,0.0,True
89882390000047985596,901288001061602,161,Active.Live,,,,,,,,0.0,True
89882390000047985604,901288001061603,162,Active.Live,,,,,,,,0.0,True
89882390000047985612,901288001061604,163,Active.Live,,,,,,,,0.0,True
89882390000047985620,901288001061605,164,Active.Live,,,,,,,,0.0,True
89882390000047985638,901288001061606,165,Active.Live,,,,,,,,0.0,True
89882390000047985646,901288001061607,166,Active.Live,,,,,,,,0.0,True
89882390000047985653,901288001061608,167,Active.Live,130.62,148.4,144.72,162.25,155.3,145.52,157.59,1044.4,False
89882390000047985661,901288001061609,168,Active.Live,,,,,,,,0.0,True
89882390000047985679,901288001061610,169,Active.Live,,,,,,,,0.0,True
89882390000047985687,901288001061611,170,Active.Live,,,,,,,,0.0,True
89882390000047985695,901288001061612,171,Active.Live,58.5,64.5,65.02,63.92,66.5,65.52000000000001,66.59,450.55000000000007,False
89882390000047985703,901288001061613,172,Active.Live,,,,,,,,0.0,True
89882390000047985711,901288001061614,173,Active.Live,9.45,10.17,10.55,10.35,13.14,11.75,13.67,79.08,False
89882390000047985729,901288001061615,174,Active.Live,,,,,,,,0.0,True
89882390000047985737,901288001061616,175,Active.Live,,,,,,,,0.0,True
89882390000047985745,901288001061617,176,Active.Live,,,,,,,,0.0,True
89882390000047985752,901288001061618,177,Active.Live,58.49,64.71000000000001,63.43000000000001,65.43,68.52000000000001,64.61,67.22,452.4100000000001,False
89882390000047985760,901288001061619,178,Active.Live,,,,,,,,0.0,True
89882390000047985778,901288001061620,179,Active.Live,10.68,12.62,13.07,12.61,9.72,11.57,16.28,86.55,False
89882390000047985786,901288001061621,180,Active.Live,58.120000000000005,63.220000000000006,63.43000000000001,64.19,66.37,64.48,66.86,446.6700000000001,False
89882390000047985794,901288001061622,181,Active.Live,58.67,64.60000000000001,56.95,64.05,62.59,61.67,67.14,435.67,False
89882390000047985802,901288001061623,182,Active.Live,,,,,,,,0.0,True
89882390000047985810,901288001061624,183,Active.Live,,,,,,,,0.0,True
89882390000047985828,901288001061625,184,Active.Live,,,,,,,,0.0,True
89882390000047985836,901288001061626,185,Active.Live,59.02,64.2,63.540000000000006,65.8,66.22,64.09,67.81,450.68,False
89882390000047985844,901288001061627,186,Active.Live,,,,,,,,0.0,True
